,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,wqi
102,31.0,4.5,6.9,1614.0,2.1,0.6,230.0,73.12
103,25.3,6.9,7.5,54.0,0.6,0.0,1633.0,82.94
104,25.9,5.5,7.6,569.0,1.3,0.9,141.0,82.04
105,26.5,5.4,7.8,310.0,0.8,2.4,107.0,82.04
106,18.9,7.1,7.8,516.0,0.7,0.5,1238.0,82.0399999999999
107,20.5,6.9,8.0,505.0,0.9,0.7,1563.0,82.0399999999999
108,27.1,7.3,7.3,109.0,2.4,3.4,65.0,88.38
109,26.3,7.5,7.5,83.0,2.1,2.0,74.0,88.38
110,29.1,6.4,7.2,102.0,1.0,0.0,1223.0,82.7599999999999
111,28.4,6.5,7.1,92.0,1.0,0.0,1342.0,82.7599999999999
113,29.0,6.8,7.3,386.0,1.0,0.2,1600.0,82.0399999999999
114,29.3,6.5,7.4,1063.0,2.0,0.6,374.0,87.66
115,22.8,6.8,6.6,63.0,2.9,0.1,36.0,84.28
116,24.5,6.6,6.4,101.0,2.5,0.2,41.0,77.5
117,25.5,6.6,6.5,136.0,2.5,0.2,45.0,84.1
118,29.0,6.7,6.9,226.0,2.2,0.2,38.0,90.34
119,23.8,6.7,6.3,72.0,2.7,0.2,32.0,77.68
120,22.8,6.7,6.4,61.0,4.6,0.1,34.0,73.0
121,29.0,6.6,7.2,1300.0,2.7,0.2,60.0,87.66
122,29.0,6.7,7.0,461.0,2.5,0.1,51.0,87.66
123,23.0,6.6,6.2,69.0,2.5,0.1,38.0,77.68
124,29.0,6.8,6.9,241.0,2.5,0.1,48.0,90.34
125,25.7,6.5,6.6,159.0,2.4,0.2,41.0,83.92
126,25.7,6.6,6.7,170.0,2.5,0.2,34.0,87.22
127,28.0,6.8,8.0,59.0,1.0,0.1,1600.0,82.94
130,32.6,4.0,6.8,370.0,3.0,0.8,9.0,73.12
131,23.6,7.8,7.8,376.0,1.3,0.4,17.0,93.28
132,23.9,7.7,7.7,354.0,1.3,0.3,22.0,93.28
133,24.5,7.6,7.9,344.0,1.6,0.4,22.0,93.28
134,25.1,5.9,8.0,401.0,0.9,0.7,15.0,87.66
135,22.3,6.0,7.2,106.0,0.8,0.4,15.0,94.0
136,23.7,5.6,7.9,326.0,1.1,0.8,4.0,93.28
137,23.9,6.2,8.1,592.0,1.0,0.7,6.0,93.28
138,25.5,7.2,7.5,119.0,2.3,3.8,74.0,88.38
139,25.1,7.2,7.5,120.0,2.3,4.1,67.0,88.38
140,25.2,7.5,7.3,82.0,1.8,2.8,70.0,88.38
141,23.2,7.5,7.5,111.0,2.4,3.0,506.0,82.7599999999999
142,18.3,7.2,7.2,56.0,1.7,2.6,42.0,94.18
143,19.3,7.5,7.2,66.0,1.6,2.5,44.0,94.18
144,24.0,7.8,7.0,74.0,2.3,4.3,108.0,88.56
145,21.2,7.3,6.6,274.0,2.5,2.4,386.0,78.12
146,26.3,7.4,7.3,67.0,1.8,2.5,55.0,88.56
147,25.5,7.2,7.4,82.0,2.0,2.8,61.0,88.38
148,20.0,7.3,7.1,55.0,1.9,2.5,53.0,88.56
149,20.3,7.3,7.1,57.0,2.0,2.4,50.0,94.18
150,19.4,6.6,7.1,114.0,2.6,2.8,3108.0,82.7599999999999
151,19.2,5.1,7.0,105.0,3.6,4.7,780.0,72.46
152,18.3,7.3,7.1,51.0,1.6,2.4,40.0,94.18
153,19.6,7.7,7.2,50.0,1.6,2.0,36.0,94.18
154,23.7,7.6,7.3,115.0,2.1,3.7,528.0,82.7599999999999
155,18.2,6.2,7.0,81.0,2.4,5.1,79.0,88.38
156,18.8,7.2,7.1,66.0,1.9,3.4,63.0,88.56
