,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),TOTAL COLIFORM (MPN/100ml)Mean,wqi
1117,27.0,5.5,6.5,75.0,1.9,0.1,2100.0,67.42
1118,31.0,5.4,6.5,102.0,4.0,0.1,680.0,62.56
1119,30.0,4.8,6.8,90.0,1.1,0.1,1090.0,68.22
1120,28.0,5.8,6.3,87.0,0.7,0.1,1500.0,60.64
1121,27.0,7.3,6.6,57.0,0.4,0.25,883.0,73.04
1122,28.0,6.2,6.7,2497.0,0.5,0.15,1100.0,75.44
1123,27.0,7.3,6.1,45.0,0.7,0.2,1050.0,66.44
1124,27.0,7.6,6.3,39.0,0.5,0.2,2588.0,66.44
1125,25.0,7.7,6.6,31.0,0.3,0.15,1300.0,73.04
1126,28.0,5.4,5.9,595.0,0.8,0.1,1375.0,59.92
1127,28.0,7.4,6.1,30.0,0.9,0.3,1050.0,66.44
1128,28.0,6.6,5.9,37.0,0.7,0.1,1725.0,66.44
1129,28.0,6.5,6.5,1135.0,0.7,0.25,1850.0,72.14
1130,27.0,7.2,5.9,39.0,0.8,0.55,1500.0,66.44
1131,29.0,6.3,6.5,925.0,1.1,0.3,1550.0,72.14
1132,27.0,7.6,6.6,50.0,0.6,0.25,3000.0,73.04
1133,27.0,7.3,6.5,64.0,1.4,0.5,2850.0,73.04
1134,27.0,7.5,7.0,74.0,0.8,0.1,2800.0,82.94
1135,26.0,4.4,7.3,428.0,0.4,0.15,1090.0,70.8
1136,27.0,6.8,7.0,169.0,0.4,0.25,560.0,82.58
1137,29.0,1.7,6.2,181.0,3.0,0.45,2208.0,37.98
1138,29.0,3.0,6.1,80.0,2.0,0.13,1240.0,49.4
1140,32.0,7.7,8.1,266.0,1.83,1.01,3175.0,82.4
1142,26.0,7.6,8.1,233.0,1.35,1.43,3200.0,82.4
1143,26.0,7.0,7.6,593.0,0.25,1.95,1600.0,82.0399999999999
1144,25.0,7.6,6.6,118.0,1.15,0.15,180.0,78.48
1145,27.0,6.8,6.6,179.0,1.88,0.2,253.0,78.3
1146,28.0,6.8,6.7,172.0,2.14,0.19,402.0,81.6
1147,28.0,6.9,7.1,260.0,1.78,0.13,200.0,88.02
1148,27.0,7.3,6.6,94.0,1.27,0.17,150.0,78.48
1149,26.0,7.4,6.7,88.0,1.03,0.15,173.0,81.78
1150,28.0,7.2,7.2,439.0,2.28,0.14,415.0,87.66
1151,27.0,6.8,7.6,749.0,2.25,0.36,699.0,82.0399999999999
1152,26.0,6.9,7.3,252.0,4.33,1.0,858.0,77.72
1153,29.0,7.0,7.3,46.0,1.0,0.1,707.0,82.94
1154,31.0,7.0,7.3,40.0,1.0,0.1,81.0,88.56
1155,30.0,7.7,8.1,195.0,1.1,0.7,10.0,93.82
1156,23.0,8.0,8.2,572.0,0.5,0.1,26.0,93.28
1157,23.0,4.9,7.8,704.0,3.5,0.1,375.0,71.74
1158,25.0,6.4,7.9,378.0,4.1,0.94,1600.0,77.36
1159,21.0,5.4,7.8,438.0,1.7,0.41,6.0,87.66
1160,27.0,7.9,6.7,120.0,1.2,0.1,135.0,81.78
1161,26.0,6.2,7.3,135.0,1.8,0.1,113.0,88.38
1162,27.0,8.2,7.6,176.0,1.9,0.1,135.0,88.2
1163,28.0,6.6,7.4,112.0,1.2,0.1,91.0,88.38
1164,26.0,7.9,7.8,196.0,0.8,0.1,73.0,88.2
1165,29.0,9.0,8.0,269.0,1.8,0.1,155.0,88.02
1166,28.0,6.8,8.0,698.0,1.0,0.1,1600.0,82.0399999999999
1167,30.0,9.6,7.6,633.0,1.0,0.1,30.0,93.28
1168,26.0,7.0,7.8,122.0,0.65,0.1,3.0,99.62
1169,26.0,7.2,7.8,130.0,0.93,0.1,3.0,99.62
1170,25.0,6.6,8.0,151.0,0.98,0.1,6.0,93.82
1171,25.0,6.7,7.9,188.0,1.03,0.1,8.0,93.82
1172,28.0,6.1,7.7,120.0,1.36,0.1,350.0,88.38
1173,29.0,5.4,7.3,141.0,2.67,0.08,510.0,77.14
1174,28.0,5.8,7.8,161.0,2.93,0.1,588.0,76.96
1175,28.0,6.8,7.6,253.0,1.0,2.8,1600.0,82.4
1176,25.0,7.0,7.7,448.0,0.4,0.2,42.0,93.28
1177,28.0,5.7,7.6,868.0,4.2,0.4,57.0,77.36
1178,30.0,6.8,7.5,2870.0,2.5,0.1,1114.0,82.0399999999999
1179,29.0,6.5,6.9,1690.0,1.5,0.1,1331.0,78.74
1180,29.0,6.5,7.1,3110.0,1.6,0.1,2056.0,82.0399999999999
1181,27.0,7.2,7.2,70.0,1.6,0.1,2887.0,82.94
1182,28.0,7.4,7.1,80.0,1.4,0.1,1010.0,82.7599999999999
1183,28.0,7.2,6.9,80.0,1.3,0.1,1938.0,79.46
1184,29.0,7.4,7.0,66.0,2.0,0.1,1451.0,82.94
1185,28.0,6.3,6.6,66.0,1.6,0.1,3293.0,73.04
1186,26.0,6.4,7.3,103.0,4.0,0.24,753.0,78.08
1187,27.0,6.7,7.4,103.0,3.9,0.22,644.0,78.08
1188,28.0,6.6,7.5,97.0,3.7,0.25,169.0,83.7
1189,28.0,5.7,7.2,531.0,5.3,0.75,456.0,77.36
1190,25.0,6.4,7.1,113.0,3.9,0.47,400.0,83.7
1191,25.0,6.6,7.2,88.0,3.9,0.45,1146.0,78.08
1192,22.0,6.2,7.3,117.0,4.0,0.5,638.0,78.08
1193,28.0,5.5,6.6,1314.0,1.7,0.4,668.0,66.52
1194,27.0,7.5,6.8,32.0,0.8,0.3,738.0,79.64
1195,28.0,6.7,6.8,42.0,1.0,0.4,804.0,79.64
1196,28.0,6.9,6.7,73.0,0.5,0.2,1242.0,76.34
1197,29.0,7.4,7.2,49.0,1.1,0.3,641.0,82.94
1198,28.0,7.2,6.8,58.0,1.5,0.3,556.0,79.64
1199,29.0,6.8,6.6,115.0,2.0,0.5,635.0,72.86
1200,26.0,7.1,6.1,34.0,0.6,0.5,1975.0,66.44
1201,26.0,5.9,6.2,52.0,0.5,0.6,1775.0,60.82
1202,26.0,5.1,6.2,55.0,1.1,0.4,2000.0,60.82
1203,26.0,6.7,6.2,43.0,0.7,0.4,2100.0,66.44
1204,26.0,5.8,6.2,34.0,0.6,0.3,1625.0,60.82
1205,26.0,6.4,6.2,39.0,0.7,0.4,1900.0,66.44
1206,26.0,6.6,6.3,41.0,0.6,0.3,1442.0,66.44
1207,26.0,5.4,6.2,47.0,0.7,0.5,1825.0,60.82
1208,28.0,6.7,6.7,80.0,1.3,0.5,3050.0,76.16
1210,29.0,6.3,7.1,83.0,1.0,0.4,1080.0,82.7599999999999
1211,28.0,6.2,6.5,95.0,0.8,1.2,2550.0,72.86
1212,28.0,6.9,6.4,41.0,0.5,0.2,285.0,72.06
1213,27.0,6.8,6.5,51.0,0.5,0.2,435.0,78.66
1214,28.0,7.5,6.9,52.0,0.5,0.2,685.0,79.64
1215,28.0,7.4,6.8,68.0,0.3,0.2,725.0,79.64
1216,29.0,2.8,6.6,1239.0,2.3,0.6,645.0,44.04
1217,30.0,7.9,7.9,382.0,2.1,0.21,2700.0,82.0399999999999
1218,30.0,7.2,7.7,244.0,1.2,0.51,1793.0,82.4
1219,32.0,6.7,7.6,231.0,1.5,0.56,3133.0,82.4
1220,29.0,7.0,8.1,637.0,3.5,1.2,1600.0,77.36
1221,26.0,7.5,6.5,65.0,1.0,0.15,319.0,78.66
1222,28.0,6.8,6.5,88.0,0.9,0.11,233.0,78.48
1223,29.0,6.8,6.5,128.0,1.8,0.15,507.0,72.86
1224,32.0,7.8,7.2,250.0,1.9,0.15,249.0,88.02
1225,28.0,7.2,6.4,71.0,1.2,0.12,165.0,72.06
1226,27.0,7.4,6.5,71.0,1.5,0.12,189.0,78.66
1227,31.0,7.6,7.1,428.0,2.5,0.15,443.0,87.66
1228,28.0,6.8,7.2,856.0,2.1,0.32,348.0,87.66
1229,27.0,7.3,7.3,152.0,2.0,1.28,998.0,82.58
1230,28.0,6.9,7.2,58.0,1.0,0.1,55.0,88.56
1231,29.0,7.0,7.2,56.0,1.0,0.1,16.5,94.18
1232,22.0,7.9,7.9,385.0,2.5,0.25,24.0,93.28
1233,22.0,6.5,8.2,1315.0,2.2,0.05,1600.0,82.0399999999999
1234,19.0,5.6,7.4,168.0,2.2,0.38,16.0,88.2
1235,25.0,6.7,7.9,135.0,0.4,0.1,3.0,99.62
1236,25.0,6.5,7.9,195.0,0.6,0.1,3.0,99.44
1237,24.0,7.3,7.8,219.0,0.5,0.1,1600.0,82.58
1238,24.0,7.7,7.9,227.0,0.4,0.1,15.0,93.64
1239,23.0,6.2,7.0,132.0,1.6,0.1,102.0,88.38
1240,23.0,6.4,7.4,137.0,2.1,0.1,58.0,88.38
1241,23.0,6.4,7.6,200.0,1.0,0.1,36.0,93.82
1242,23.0,7.0,7.6,210.0,2.4,0.1,137.0,88.2
1243,23.0,3.6,7.2,249.0,4.9,0.1,383.0,66.48
1244,23.0,3.7,7.5,224.0,4.0,0.1,394.0,66.66
1245,24.0,7.1,7.3,156.0,2.0,0.1,89.0,88.2
1246,23.0,7.1,7.2,127.0,2.0,0.1,60.0,88.38
1247,22.0,5.8,7.6,258.0,1.7,0.1,118.0,82.4
1248,24.0,8.4,7.9,383.0,0.8,0.1,180.0,87.66
1249,20.0,8.1,7.2,221.0,5.4,1.95,373.0,83.52
1250,16.0,8.0,7.0,164.0,1.7,1.6,2067.0,82.58
1251,19.0,5.4,7.2,153.0,1.7,1.78,278.0,82.58
1252,18.0,7.0,7.0,161.0,1.7,2.43,375.0,88.2
1253,27.0,5.2,7.4,120.0,1.4,0.05,280.0,82.76
1254,27.0,4.7,7.4,139.0,1.0,0.11,440.0,77.14
1255,27.0,5.4,7.4,128.0,3.0,0.06,565.0,77.14
1256,23.0,6.9,7.2,233.0,1.5,0.1,119.0,88.02
1257,25.0,7.102,7.945,307.5,1.525,0.11,50.0,93.28
1258,26.5,6.085,7.695,933.0,3.2,0.153,1550.0,77.36
1259,27.0,7.93,8.32,2160.0,1.46,0.277,5.0,98.9
1260,25.667,4.9,7.943,504.7,3.1,0.603,2367.0,66.12
1261,27.75,6.625,7.725,149.3,2.175,0.123,60.0,88.38
1262,27.75,5.175,6.95,464.0,1.5,0.7,255.0,65.54
1264,28.25,6.2,7.9,218.0,1.575,0.615,85.0,88.2
1265,26.667,7.4,6.733,344.3,1.7,0.9,160.0,81.06
1266,28.75,7.6,6.775,213.3,1.3,0.173,3275.0,75.98
1267,28.0,7.35,7.1,214.8,1.425,0.15,285.0,88.2
1268,28.25,7.675,6.875,103.3,1.025,3.367,96.0,85.08
1269,27.25,7.125,7.55,418.3,1.725,0.45,106.0,87.66
1271,27.714,6.543,7.229,130.4,4.014,0.307,187.0,83.7
1272,28.714,6.7,7.307,121.5,3.857,0.264,162.0,83.7
1273,28.667,7.1,7.507,102.5,4.633,0.21,152.0,83.7
1274,26.714,6.471,7.379,204.3,3.729,0.309,174.0,83.52
1275,28.286,6.371,7.061,214.0,4.5,0.346,292.0,83.52
1276,19.333,6.7,7.44,153.3,4.4,0.65,305.0,83.52
1277,29.083,6.2,6.457,881.1,1.757,0.326,541.0,65.5399999999999
1278,27.417,7.286,6.586,82.9,1.071,0.233,470.0,78.48
1279,27.286,6.525,6.5,124.1,1.313,0.227,844.0,72.86
1280,28.6,6.917,6.95,185.4,0.467,0.112,433.0,71.7
1281,27.786,7.075,7.25,107.3,0.988,0.369,384.0,88.38
1282,28.143,7.013,6.712,151.4,1.4,0.397,485.0,81.6
1283,27.5,6.787,6.65,119.3,1.637,0.4,574.0,72.86
1284,28.571,4.1,6.775,511.4,6.788,1.373,3100.0,54.84
1285,27.0,6.9,6.8,224.0,0.733,0.438,2500.0,79.28
1286,26.5,6.867,6.833,292.7,0.633,0.575,2400.0,79.1
1287,26.25,6.467,6.6,240.0,1.033,0.66,2733.0,72.5
1288,26.75,6.667,6.933,268.0,0.933,0.893,3300.0,65.9
1289,26.75,6.967,6.933,268.0,0.833,0.4,2233.0,65.9
1290,26.5,6.733,6.867,324.0,0.933,0.455,2233.0,78.74
1291,27.0,6.714,6.957,143.4,0.671,0.449,2171.0,66.2599999999999
1292,26.75,6.733,6.733,242.7,0.9,0.743,2833.0,75.8
1293,28.0,7.233,6.867,75.7,1.1,0.853,2300.0,79.46
1294,27.0,6.233,6.9,104.7,0.867,1.267,2233.0,79.46
1295,28.5,6.867,7.067,336.7,0.533,0.285,455.0,87.66
1296,28.5,6.433,6.667,339.3,0.6,0.292,967.0,72.14
1297,29.0,7.033,6.533,141.3,0.533,0.135,740.0,72.86
1298,28.75,6.633,7.067,237.0,0.633,0.45,800.0,82.4
1299,28.0,7.033,7.033,241.0,0.267,0.232,1260.0,82.4
1300,28.5,7.0,7.133,302.0,0.7,0.168,933.0,82.0399999999999
1301,29.0,3.5,6.567,1285.3,2.133,0.347,443.0,60.9
1302,21.0,6.9,8.2,211.0,2.8,2.12,2200.0,82.58
1303,24.0,7.8,8.5,197.0,0.6,3.01,3500.0,82.58
1304,33.0,7.3,8.6,528.0,0.9,4.8,1600.0,78.74
1305,27.5,7.95,6.565,188.5,1.5,0.08,66.0,78.3
1306,29.0,5.8,6.6,107.0,1.0,0.265,58.0,72.86
1307,31.25,6.975,6.725,144.3,1.5,0.22,98.0,81.78
1308,28.0,5.35,7.19,216.3,1.325,0.263,31.0,88.2
1309,30.0,7.525,6.61,93.3,1.5,0.283,26.0,84.1
1310,29.0,7.15,6.56,141.0,1.1,0.25,73.0,78.48
1311,28.0,4.325,7.045,547.0,2.075,0.25,109.0,76.42
1312,27.5,6.925,7.633,552.0,2.0,0.217,570.0,82.0399999999999
1313,27.25,6.825,7.125,299.3,3.667,1.525,771.0,77.72
1314,26.667,6.7,7.267,92.7,1.333,0.1,41.0,94.0
1315,26.333,6.75,7.3,169.3,1.667,0.1,47.0,93.82
1316,21.25,5.87,7.84,895.5,4.35,0.1,1600.0,71.74
1318,19.5,7.2,9.01,340.5,4.6,2.955,23.0,72.1
1319,20.0,6.1,7.1,59.0,3.1,0.3,14.0,89.5
1320,16.0,7.2,7.0,183.0,5.2,2.6,180.0,83.52
1321,23.667,7.767,7.543,59.0,0.5,0.1,1600.0,82.94
1322,23.7,7.167,8.143,59.0,0.6,0.1,1600.0,82.94
1323,23.767,8.533,7.857,170.0,0.4,0.1,1600.0,82.58
1324,23.667,8.867,7.793,216.0,0.5,0.1,1600.0,82.58
1325,26.0,7.2,7.84,342.8,1.764,0.528,230.0,87.66
1326,27.0,7.2,8.07,580.0,4.0,0.37,280.0,82.98
1327,28.0,6.9,6.44,302.9,2.304,0.231,116.0,71.16
1328,29.0,7.8,6.69,255.9,2.754,0.348,140.0,78.12
1329,29.0,6.7,7.35,346.1,1.893,0.973,148.0,87.66
1330,28.0,8.3,6.68,348.9,2.503,1.686,155.0,77.76
1331,28.0,8.1,6.18,187.4,2.375,0.196,155.0,71.7
1332,29.0,7.7,6.55,121.8,2.242,1.136,164.0,78.48
1333,29.0,8.6,6.56,181.4,2.423,0.276,155.0,78.3
1334,28.0,7.7,6.45,302.5,2.144,0.163,142.0,71.16
1335,28.0,7.4,6.07,142.8,1.681,0.276,140.0,71.88
1338,27.0,7.1,7.2,280.5,1.6,0.48,95.0,88.02
1339,28.0,7.4,7.27,253.3,1.333,0.17,37.0,93.64
1340,28.0,7.3,7.3,236.7,4.0,0.08,58.0,83.34
1341,28.0,5.9,6.6,1359.5,1.755,0.326,387.0,72.14
1342,28.0,7.4,6.68,39.3,1.164,0.204,298.0,78.66
1343,28.0,7.1,6.75,41.9,1.325,0.18,378.0,81.96
1344,28.0,6.8,6.92,70.8,0.458,0.117,353.0,72.06
1345,28.0,6.8,7.03,36.8,1.117,0.146,624.0,82.94
1346,28.0,7.2,6.76,59.8,1.692,0.449,357.0,81.96
1347,28.0,6.2,6.63,106.8,1.275,0.444,360.0,78.48
1348,28.0,6.6,6.77,250.7,1.383,1.54,3383.0,75.8
1349,28.0,6.9,6.95,51.3,0.625,0.518,3100.0,66.44
1350,28.0,6.0,6.75,641.0,0.975,0.792,3600.0,75.44
1352,28.0,6.9,6.85,56.3,0.575,0.383,3400.0,79.64
1353,28.0,6.5,6.98,59.3,0.575,0.345,2600.0,66.44
1354,28.0,6.8,7.06,63.3,0.567,0.404,2825.0,82.94
1355,28.0,5.8,6.73,73.0,0.7,0.315,3500.0,70.72
1356,28.0,6.8,6.8,69.8,0.7,0.61,1775.0,79.64
1357,28.0,7.1,6.83,80.0,0.7,0.835,1475.0,79.46
1358,28.0,6.3,7.15,65.5,1.05,0.223,595.0,82.94
1359,28.0,6.3,6.95,77.5,0.65,0.208,775.0,66.2599999999999
1360,28.0,6.9,6.65,34.0,0.5,0.095,215.0,78.66
1361,28.0,6.4,6.75,49.3,0.675,0.193,350.0,81.96
1362,28.0,7.1,6.98,58.3,0.55,0.152,510.0,66.44
1363,28.0,7.0,7.23,67.5,0.425,0.09,453.0,88.56
1364,28.0,2.4,6.43,1041.3,2.025,1.05,373.0,43.06
1365,27.0,6.7,7.56,128.4,4.942,0.447,250.0,83.7
1366,28.0,6.8,7.68,123.2,4.475,0.4,236.0,83.7
1367,28.0,6.5,7.33,135.8,4.4,0.33,208.0,83.7
1368,28.0,6.5,7.34,128.5,5.125,0.819,230.0,83.7
1369,28.0,6.6,7.47,143.8,4.958,0.667,358.0,83.7
1370,28.0,6.6,7.75,136.8,4.5,0.505,203.0,83.7
1371,28.0,7.9,7.85,76.5,3.0,0.1,55.0,88.38
1372,28.0,7.4,7.0,82.3,2.027,0.1,44.0,94.0
1373,28.0,7.0,7.9,77.5,3.525,0.1,45.0,89.32
1374,28.0,6.9,7.73,85.3,3.233,0.1,63.0,83.7
1375,28.0,7.3,7.77,128.3,4.043,0.1,66.0,83.7
1376,28.0,8.0,7.8,132.0,3.4,0.1,54.0,83.7
1377,28.0,7.0,7.43,136.7,8.693,0.1,252.0,79.02
1378,20.0,6.6,7.15,199.0,7.475,2.1,288.0,78.84
1379,15.0,7.1,7.03,147.3,2.1,1.0,2300.0,82.7599999999999
1380,19.0,8.1,7.03,148.3,1.967,0.1,307.0,88.38
1381,21.0,8.3,7.1,152.0,2.133,0.1,413.0,88.2
1382,25.0,7.4,6.6,59.0,1.0,0.1,1600.0,73.04
1383,25.0,6.8,6.3,59.0,1.0,0.1,1600.0,66.44
1384,25.0,6.1,7.15,59.0,1.0,0.1,1600.0,82.94
1385,26.0,7.5,7.2,59.0,1.0,0.1,1600.0,82.94
1387,29.0,6.1,8.33,868.5,1.0,1.975,1600.0,82.0399999999999
1388,28.0,8.1,7.86,342.3,2.747,0.24,1600.0,82.0399999999999
1389,25.0,7.3,7.3,157.0,2.067,0.55,348.0,88.2
1391,25.0,6.8,7.43,337.5,4.25,1.225,3043.0,77.36
1392,25.0,6.9,7.4,322.0,3.75,0.975,3500.0,77.36
1393,28.0,4.4,8.23,390.0,1.39,0.08,150.0,76.42
1394,28.0,4.2,8.52,380.0,1.26,0.16,1100.0,67.5
1395,22.0,8.0,8.31,617.0,4.4,0.655,30.0,88.6
1396,28.0,5.0,7.92,160.0,1.443,0.153,149.0,76.96
1397,25.0,7.5,7.53,87.3,1.407,0.567,133.0,88.38
1398,27.0,6.6,7.27,162.3,3.555,0.292,156.0,83.52
1399,28.0,6.8,7.12,172.3,1.723,0.198,283.0,88.2
1400,28.0,6.7,7.6,277.8,1.229,0.183,33.0,93.64
1401,28.0,7.1,6.94,95.8,0.943,0.151,26.0,77.5
1402,27.0,7.4,7.0,88.5,0.977,0.186,105.0,88.38
1403,28.0,6.6,7.81,603.2,2.675,0.263,191.0,87.66
1404,28.0,6.6,7.49,571.5,2.091,0.256,273.0,87.66
1405,28.0,5.4,7.16,75.8,2.092,0.1,513.0,77.14
1406,30.0,5.4,7.37,104.8,1.802,0.215,557.0,77.14
1407,29.0,5.3,7.37,102.2,2.552,0.202,583.0,77.14
1408,28.0,6.8,8.0,59.0,1.0,0.1,1600.0,82.94
1409,14.0,10.0,8.0,112.0,0.2,0.5,1072.0,82.7599999999999
1410,16.0,9.0,8.0,117.0,0.2,0.5,722.0,82.7599999999999
1411,16.0,9.0,8.0,155.0,0.5,0.7,1855.0,82.58
1412,19.0,8.0,8.0,211.0,0.5,0.5,72.0,88.2
1413,19.0,8.0,8.0,202.0,0.6,0.4,123.0,88.2
1414,19.0,8.0,8.0,280.0,0.7,1.1,157.0,88.02
1415,20.0,8.0,8.0,177.0,0.5,0.4,92.0,88.2
1416,15.0,8.0,8.0,285.0,0.0,0.8,50.0,93.64
1417,18.0,7.0,8.0,316.0,1.0,1.6,500.0,87.66
1418,15.0,7.0,7.0,334.0,1.0,2.0,600.0,82.0399999999999
1419,15.0,8.0,8.0,177.0,0.5,0.6,662.0,82.58
1420,14.0,7.0,7.0,334.0,1.0,1.0,738.0,82.0399999999999
1421,14.0,7.0,7.0,317.0,0.8,1.8,567.0,82.0399999999999
1422,16.0,7.0,7.0,310.0,1.0,2.0,650.0,82.0399999999999
1423,17.0,7.0,7.0,320.0,0.65,1.8,725.0,82.0399999999999
1424,16.0,7.0,8.0,304.0,1.0,1.5,550.0,82.0399999999999
1425,14.0,9.0,8.0,96.0,0.2,0.5,606.0,82.7599999999999
1426,14.0,10.0,8.0,225.0,0.2,0.6,1586.0,82.58
1427,14.0,10.0,8.0,214.0,0.5,0.7,1606.0,82.58
1428,17.0,9.0,8.0,202.0,0.5,0.3,59.0,88.2
1429,20.0,8.0,8.0,272.0,2.7,1.9,703.0,82.4
1430,20.0,8.0,8.0,272.0,2.7,1.9,703.0,82.4
1431,21.0,7.0,7.0,279.0,2.0,2.0,503.0,82.4
1432,21.0,7.0,8.0,288.0,2.4,2.0,803.0,82.4
1433,23.0,7.0,7.0,279.0,2.5,3.0,500.0,88.02
1434,23.0,7.0,7.0,283.0,2.0,3.0,600.0,82.4
1435,18.0,5.0,7.0,494.0,3.0,2.7,950.0,70.8
1436,18.0,8.0,8.0,155.0,0.5,0.5,80.0,88.2
1437,15.0,9.0,8.0,158.0,0.5,0.4,106.0,88.2
1438,14.0,8.0,8.0,167.0,0.7,0.7,50.0,93.82
1439,20.0,8.0,8.0,364.0,2.1,1.3,69.0,87.66
1440,24.0,9.0,8.0,622.0,2.0,0.8,75.0,87.66
1441,24.0,8.0,8.0,583.0,1.3,1.2,86.0,87.66
1442,24.0,8.0,8.0,443.0,1.2,1.0,116.0,87.66
1443,19.0,8.0,8.0,233.0,1.1,0.9,2327.0,82.4
1444,19.0,8.0,8.0,99.0,0.5,0.5,100.0,88.38
1445,21.0,8.0,8.0,129.0,0.4,0.6,113.0,88.38
1446,18.3143,8.58571,8.02143,135.286,1.0,0.05714,3200.0,82.7599999999999
1447,17.1364,9.10909,7.65636,121.327,1.72727,0.08333,98.9,88.38
1449,19.3917,8.25,7.78,157.308,2.50833,0.08333,376.727,88.2
1450,19.5909,8.21667,7.41667,221.417,3.425,0.5025,2496.67,77.9
1451,18.3143,8.40857,7.385,196.167,2.75833,0.21333,1376.67,82.58
1452,18.5286,8.30571,7.55833,230.25,3.63333,0.23091,1713.33,77.72
1453,19.2286,8.73714,7.45833,188.5,3.08333,0.22833,850.0,77.9
1454,20.2571,8.32571,7.43333,205.5,3.69167,0.2825,1743.33,77.9
1460,27.4167,8.71273,8.0225,387.267,3.66667,1.95667,1995.0,77.36
1464,23.2222,8.33333,7.82222,258.556,2.66667,1.71167,2337.5,82.4
1465,22.3333,8.45556,7.69,297.875,2.75556,1.71167,3933.33,82.4
1466,24.5556,7.34444,7.79111,413.222,2.72222,1.71167,3666.67,82.0399999999999
1470,24.5714,7.81429,7.92857,363.429,2.71429,1.71167,3371.43,82.0399999999999
1472,18.7857,8.32857,7.75286,171.443,0.9,0.05714,1255.0,82.58
1474,21.65,8.21,7.837,320.6,1.06667,0.3445,16.1,93.28
1475,26.65,6.53333,7.87167,610.25,2.45833,1.3275,2833.33,82.0399999999999
1476,13.5,9.1,7.48,255.0,2.1,0.1,1600.0,82.4
1477,23.75,8.82727,7.94667,399.225,2.70833,1.7,2708.33,82.0399999999999
1478,25.0,8.5,7.942,354.87,3.08,1.47,1560.0,77.36
1479,27.8333,7.92,7.851,355.13,3.59,1.71,2950.0,77.36
1480,24.0,7.50909,8.13917,387.167,3.63333,0.545,362.5,82.98
1481,23.5,7.69167,8.16417,370.417,2.76667,0.39167,198.333,87.66
1483,23.8333,7.66667,8.16417,421.333,2.75833,0.43833,295.0,87.66
1484,23.5,7.64167,8.13167,425.167,2.95833,0.4975,328.333,87.66
1485,21.1429,8.77143,7.77143,296.857,2.62857,0.1,2542.86,82.4
1486,26.175,7.575,7.74333,177.917,1.39167,0.82417,1800.0,82.58
1487,26.2667,7.24167,7.70667,185.333,2.125,0.885,2141.67,82.58
1488,23.2222,8.12222,7.86556,250.889,2.61111,1.38,2300.0,82.4
1489,21.6667,8.45556,7.82556,262.0,2.58889,1.38,1844.44,82.4
1490,24.0,7.0,8.71,343.0,2.5,1.38,1100.0,75.44
1491,23.5,6.9,7.745,289.5,2.6,1.38,2300.0,82.4
1492,24.3333,7.76667,8.11,329.667,2.73333,1.38,2733.33,82.0399999999999
1493,22.6667,7.93333,8.21667,331.333,2.73333,1.38,2600.0,82.0399999999999
1494,24.6667,7.6,8.04667,480.333,2.7,1.38,2500.0,82.0399999999999
1496,24.0,7.6,7.64,217.5,2.7,1.38,1750.0,82.58
1497,24.0,7.5,7.47,214.0,2.65,1.38,1950.0,82.58
1498,24.3333,5.8,7.96,368.333,5.26667,1.38,3166.67,71.74
1499,28.0,6.5,7.75,286.0,2.65,1.38,2400.0,82.4
1500,26.6667,6.83333,7.6,374.5,2.66667,1.38,2966.67,82.0399999999999
1501,24.6667,7.6,7.84,360.667,2.73333,1.38,2100.0,82.0399999999999
1502,24.0,7.96667,7.98333,391.333,2.7,1.38,2733.33,82.0399999999999
1504,26.5,7.0,7.6,332.0,2.95,1.38,1950.0,82.0399999999999
1505,22.7273,7.96364,8.19,268.736,0.74545,0.79473,51.0,88.02
1506,21.4,8.34,7.728,324.3,1.22,0.3065,16.5,93.28
1507,22.0,8.37,7.903,331.1,1.2,0.3593,16.6,93.28
1508,21.4818,8.14545,8.14182,174.155,0.76364,0.49082,62.6,88.2
1509,20.8636,8.51818,7.71455,511.364,1.02,0.30573,11.9091,93.28
1510,20.7273,8.6,7.87636,509.0,1.18182,0.37673,12.9091,93.28
1511,25.8,7.8,7.9,360.4,1.4,0.1,7.7,93.28
1512,26.0,7.8,8.0,445.3,1.6,0.1,8.3,93.28
1513,28.0,10.55,7.58333,634.333,4.1,1.28167,145.5,82.98
1514,28.0,7.45,7.87,646.0,2.0,0.925,49.5,93.28
1515,36.0,7.75,7.935,435.667,3.38333,1.34833,57.5,82.98
1516,35.5,7.22,7.928,643.4,3.34,4.366,934.0,77.36
1517,35.0,7.06,8.144,733.8,3.94,1.89,512.0,77.36
1518,28.0,8.8,7.47,691.0,5.4,0.1,70.0,82.98
1519,37.0,8.12,7.716,375.2,1.92,0.464,64.8,87.66
1520,28.4444,6.62,7.679,415.9,2.525,1.2289,1600.0,82.0399999999999
1521,27.5455,5.52909,8.16727,368.182,1.25636,0.23455,10.1818,87.66
1522,25.8,7.4,7.4,379.8,2.0,0.6,1600.0,82.0399999999999
1523,28.5,5.855,7.8,387.5,1.4725,0.375,7.0,87.66
1524,26.7583,5.45,8.105,515.0,2.12083,0.42583,107.25,82.04
1525,26.0,5.64267,7.95583,472.5,1.0225,0.61667,6.16667,87.66
1526,25.1429,8.01111,7.60889,664.875,2.08889,0.48222,1600.0,82.0399999999999
1527,27.5,8.38333,7.61667,341.5,2.13333,0.1,1600.0,82.0399999999999
