,qitemp,qido,qiph,qicond,qibod,qini,qitc,sumqi
0,76.02427921092567,43.72294372294372,79.59183673469396,98.52209468446722,100.0,100.0,37.01370878103001,534.8748631340605
1,100.0,43.72294372294372,63.93442622950835,100.0,100.0,100.0,0.29099997378378617,507.9483699262359
2,100.0,59.064327485380105,100.0,80.97088950969675,100.0,100.0,0.4072580809542641,540.4424750760311
3,98.42829076620828,59.064327485380105,100.0,100.0,100.0,100.0,0.3277569808299896,557.8203752324184
4,100.0,59.064327485380105,100.0,100.0,100.0,100.0,0.32732741588275194,559.3916549012629
5,82.26600985221678,40.23904382470119,79.59183673469396,48.19152268729367,74.87437185929649,100.0,0.6495490867951027,425.8123340449972
6,100.0,41.90871369294605,49.36708860759501,100.0,30.470347648261754,100.0,27.75771047513198,449.5038604239348
7,89.6243291592129,47.867298578199055,43.820224719101155,100.0,29.859719438877754,49.87468671679198,29.3909973521624,390.43725596434524
8,100.0,45.70135746606334,56.52173913043483,100.0,28.70905587668593,66.5551839464883,43.45367551109178,440.94101193076415
9,100.0,43.72294372294372,49.36708860759501,100.0,30.470347648261754,66.5551839464883,34.46015867540532,424.57572260069406
10,100.0,29.61876832844574,43.820224719101155,42.73381909869869,41.504178272980496,10.479199578725645,6.091834867979755,274.2480248659315
11,100.0,38.69731800766284,66.10169491525436,36.967411597256884,26.18629173989455,33.2220367278798,22.204934429873305,323.37968741782174
12,100.0,43.72294372294372,66.10169491525436,100.0,31.106471816283925,100.0,13.146466640347414,454.0775770948294
13,100.0,55.80110497237569,56.52173913043483,88.49506615336962,48.220064724919084,24.90613266583229,7.685206554350334,381.62931420128183
14,100.0,32.475884244372985,100.0,74.62591887757006,23.31768388106416,49.87468671679198,14.693337255478747,394.9875109752779
15,100.0,27.977839335180054,79.59183673469396,8.288057555149422,20.162381596752365,13.275517011340893,8.612811449262868,257.9084436823795
16,100.0,31.46417445482865,100.0,52.082085470975805,27.643784786641927,33.2220367278798,12.809334530067959,357.22141597039416
